Pid,Pname,Pweight,Psize
2724,帽子,81,30 44 72
10020,蛋黄派,21,91 98 70
6521,茶叶,98,56 99 4
6720,椅子,36,8 75 10
4123,椅子,79,47 52 48
6622,矿泉水,73,74 94 42
1224,上衣,99,40 7 50
2822,垃圾袋,81,7 23 75
4225,薯片,48,67 68 15
1822,上衣,5,8 6 5
6921,香蕉,22,34 10 90
6821,香蕉,95,6 68 85
4321,上衣,8,72 45 9
7022,键盘,69,63 40 16
627,茶叶,80,51 64 74
7121,薯片,75,16 46 99
2923,矿泉水,34,75 71 53
4421,蛋黄派,39,51 70 75
4521,矿泉水,86,7 26 7
7224,上衣,40,94 32 65
825,茶叶,95,47 13 66
1924,上衣,84,1 68 92
7321,椅子,81,68 84 21
7421,椅子,78,100 40 6
4625,薯片,29,3 50 52
2024,茶叶,97,6 76 33
3023,苹果,99,99 69 82
7821,椅子,75,61 34 14
2123,香蕉,95,11 5 79
1330,薯片,84,49 64 26
7921,键盘,100,80 56 77
3123,蛋黄派,26,69 32 74
8021,上衣,23,26 64 95
3223,键盘,14,62 55 56
5024,苹果,37,2 84 31
8123,香蕉,78,40 83 62
5122,电脑,99,21 28 4
3325,茶叶,27,25 54 98
7518,椅子,89,54 35 98
7622,薯片,4,21 28 55
4819,帽子,53,63 31 14
7720,苹果,50,91 5 40
4921,上衣,42,86 48 15
428,香蕉,93,90 18 14
2222,电脑,51,68 21 58
8219,键盘,47,92 92 78
925,书,25,13 69 88
5323,帽子,51,34 30 71
8320,垃圾袋,12,53 60 67
8518,苹果,98,72 97 89
3421,香蕉,51,80 26 74
4723,蛋黄派,39,63 54 93
1428,茶叶,51,23 70 28
5222,电脑,61,89 78 16
8423,椅子,52,67 9 27
230,书,49,13 96 86
8621,书,75,93 64 24
3522,键盘,15,71 39 71
2324,薯片,29,90 79 55
9020,苹果,38,14 35 36
9120,矿泉水,96,42 82 1
5822,矿泉水,91,22 48 39
1028,书,10,81 13 47
5920,上衣,25,92 90 97
9320,椅子,71,36 45 55
3825,苹果,99,61 53 53
9221,薯片,83,14 67 77
8719,键盘,72,35 24 11
2421,蛋黄派,12,22 83 25
5521,帽子,82,92 88 59
8819,上衣,51,78 50 3
526,茶叶,9,89 69 36
8920,茶叶,83,17 33 97
3621,帽子,56,47 12 11
727,蛋黄派,1,47 37 68
9420,茶叶,93,19 55 63
5622,书,65,75 54 95
5721,薯片,21,3 37 52
132,矿泉水,78,25 32 8
5442,椅子,32,27 2 51
6023,键盘,21,25 27 86
6125,蛋黄派,72,67 1 32
1524,帽子,34,59 6 16
2523,上衣,83,51 31 23
9619,帽子,42,84 75 67
1624,蛋黄派,82,75 30 32
9522,椅子,69,17 92 79
9719,矿泉水,92,87 79 98
3923,苹果,40,10 28 48
3723,薯片,13,1 88 61
6223,垃圾袋,21,62 40 22
4022,薯片,16,41 64 41
9819,蛋黄派,62,98 66 36
2625,苹果,71,77 97 54
6322,矿泉水,86,65 28 9
329,书,77,77 57 52
1128,键盘,18,49 81 13
6423,薯片,74,95 92 62
9920,垃圾袋,56,94 95 42
1724,椅子,81,24 84 15
2725,上衣,40,50 78 53
10021,垃圾袋,80,45 84 57
6522,上衣,55,48 75 57
6721,垃圾袋,95,6 75 56
4124,苹果,99,16 45 15
6623,苹果,83,44 43 15
1225,椅子,4,59 10 16
2823,苹果,12,4 92 57
4226,垃圾袋,100,58 22 18
1823,矿泉水,56,28 87 76
6922,矿泉水,65,9 88 60
6822,书,70,20 36 47
4322,电脑,12,51 75 88
7023,苹果,9,20 37 2
628,书,50,54 9 83
7122,香蕉,50,10 80 83
2924,垃圾袋,9,32 71 1
4422,苹果,38,7 39 24
4522,苹果,89,95 45 72
7225,书,53,2 94 78
826,椅子,48,56 84 67
1925,帽子,17,57 95 16
7322,帽子,100,52 59 80
7422,茶叶,46,37 1 2
7423,帽子,43,84 87 65
2025,帽子,25,47 60 78
3024,茶叶,37,64 8 11
3025,电脑,71,1 79 44
2124,蛋黄派,98,28 29 89
1331,垃圾袋,18,65 19 94
7922,薯片,8,89 65 94
3124,苹果,63,41 7 92
8022,香蕉,1,78 65 67
3224,矿泉水,15,44 16 48
5025,书,48,23 10 76
8124,蛋黄派,23,76 94 42
5123,书,98,71 8 25
3326,书,68,47 42 9
3327,矿泉水,28,68 82 63
3328,上衣,64,28 85 28
7519,垃圾袋,66,15 47 69
7520,上衣,21,20 82 100
7521,电脑,63,90 50 41
7522,书,2,82 60 91
7721,键盘,61,95 89 55
7722,键盘,21,44 27 12
7723,椅子,62,4 87 77
5324,键盘,36,34 41 16
5325,电脑,10,76 15 48
5326,垃圾袋,7,50 59 96
8321,垃圾袋,53,47 26 23
4724,键盘,35,91 88 81
1429,蛋黄派,52,96 66 5
5223,香蕉,66,86 45 12
8424,上衣,16,56 50 68
231,帽子,89,64 16 28
8622,书,47,12 97 99
3523,苹果,29,5 57 52
2325,帽子,17,79 81 94
2326,键盘,83,91 43 73
2327,键盘,27,54 14 30
2328,矿泉水,81,87 58 81
2329,茶叶,70,72 42 30
2330,帽子,52,57 40 27
2331,蛋黄派,4,54 31 88
2332,上衣,73,18 58 56
9121,键盘,100,12 27 28
8720,香蕉,5,25 83 53
2422,电脑,6,89 30 15
5522,矿泉水,50,41 60 55
8820,书,93,63 87 87
527,矿泉水,74,80 42 85
8921,茶叶,6,26 95 7
3622,矿泉水,61,97 39 86
728,垃圾袋,36,30 1 56
9421,薯片,83,61 89 17
5623,椅子,75,8 58 71
5722,电脑,65,64 43 26
133,矿泉水,68,3 53 59
5443,蛋黄派,84,81 29 67
6024,椅子,15,77 91 54
6126,矿泉水,22,75 67 16
1525,香蕉,17,4 66 94
2524,帽子,88,71 21 92
9620,垃圾袋,91,56 91 41
1625,电脑,78,54 31 55
9523,电脑,47,6 55 53
9720,茶叶,35,55 89 50
3924,苹果,50,93 48 69
3724,帽子,78,92 7 35
6224,苹果,20,63 73 100
4023,书,29,87 90 1
9820,茶叶,45,48 45 35
2626,帽子,41,82 80 60
6323,垃圾袋,48,34 19 23
330,香蕉,48,99 14 80
1129,薯片,97,19 56 71
6424,书,86,100 10 80
9921,椅子,67,28 93 54
1725,蛋黄派,28,35 58 50
2726,矿泉水,100,41 64 26
10022,苹果,64,74 55 8
6523,电脑,22,56 85 82
6722,椅子,83,38 39 66
4125,上衣,23,20 95 27
6624,薯片,7,44 51 31
1226,电脑,73,93 21 68
2824,电脑,76,15 57 57
4227,上衣,10,52 39 61
1824,电脑,36,69 93 98
6923,电脑,31,38 87 92
6823,电脑,62,32 1 50
4323,茶叶,68,64 6 36
7024,椅子,95,95 46 43
629,椅子,88,29 92 44
7123,上衣,81,21 10 52
2925,茶叶,56,70 7 30
4423,键盘,89,86 44 10
4523,薯片,57,10 7 59
7226,上衣,91,67 25 52
827,书,30,76 84 89
1926,键盘,54,23 90 33
7323,蛋黄派,2,1 60 85
7424,上衣,22,24 7 32
2026,上衣,65,11 35 55
7822,垃圾袋,45,95 69 38
3026,香蕉,52,94 59 14
2125,书,32,75 34 72
1332,电脑,3,88 99 63
4626,香蕉,37,4 3 17
7923,电脑,23,49 54 58
3125,键盘,55,25 15 30
8023,苹果,52,31 93 93
3225,上衣,8,13 83 90
5026,矿泉水,6,98 39 91
8125,矿泉水,86,58 86 48
5124,上衣,29,52 48 77
3329,帽子,65,98 97 60
7623,垃圾袋,6,59 42 26
4820,薯片,18,86 27 24
4922,薯片,57,2 80 55
429,矿泉水,98,75 21 91
2223,电脑,59,1 81 82
7523,电脑,44,23 5 31
8220,垃圾袋,88,41 98 99
926,帽子,91,93 23 67
7724,上衣,55,46 66 38
8519,椅子,54,69 82 100
3422,键盘,64,23 97 51
5327,帽子,46,47 97 8
8322,薯片,28,8 47 64
4725,键盘,45,15 51 10
1430,薯片,36,6 5 8
5224,香蕉,70,83 81 73
8425,矿泉水,30,29 5 20
232,垃圾袋,25,85 43 95
8623,椅子,31,9 28 7
3524,帽子,36,24 20 12
9021,电脑,87,5 57 65
5823,茶叶,57,95 81 14
1029,茶叶,78,83 84 16
5921,香蕉,67,69 8 49
9321,香蕉,87,26 73 46
3826,书,29,40 75 85
9222,蛋黄派,18,61 89 55
2333,书,56,3 81 97
9122,香蕉,61,33 50 41
8721,垃圾袋,36,40 98 15
2423,垃圾袋,81,27 18 28
5523,帽子,78,99 52 41
8821,香蕉,35,14 31 76
528,香蕉,60,80 94 1
8922,香蕉,90,86 58 74
3623,椅子,88,20 99 36
729,椅子,6,73 71 3
9422,帽子,86,22 71 29
5624,键盘,69,60 72 60
5723,香蕉,21,60 10 54
134,薯片,45,59 60 11
5444,垃圾袋,9,53 7 6
6025,茶叶,5,7 100 91
6127,键盘,91,99 67 72
1526,键盘,80,73 29 16
2525,蛋黄派,33,70 86 64
9621,香蕉,25,51 74 36
1626,电脑,83,16 4 84
9524,键盘,36,42 69 68
9721,茶叶,77,34 42 53
3925,书,66,37 44 27
3725,垃圾袋,97,48 15 5
6225,帽子,98,57 8 35
4024,电脑,21,65 23 80
9821,薯片,91,67 99 51
2627,香蕉,45,20 98 41
6324,电脑,88,39 49 19
331,苹果,78,53 86 10
1130,电脑,79,7 77 89
6425,帽子,36,53 39 82
9922,电脑,99,24 90 23
1726,帽子,72,20 66 6
2727,薯片,30,41 32 96
10023,苹果,92,76 42 41
6524,香蕉,13,95 49 25
6723,苹果,8,84 25 38
4126,苹果,30,62 68 49
6625,电脑,87,98 1 94
1227,香蕉,26,20 90 91
2825,垃圾袋,86,21 52 90
4228,蛋黄派,80,64 24 32
1825,香蕉,12,63 8 28
6924,电脑,4,75 62 57
6824,电脑,50,7 95 22
4324,蛋黄派,18,18 63 19
7025,茶叶,93,74 21 72
630,键盘,10,14 32 8
7124,垃圾袋,53,36 97 33
2926,茶叶,77,65 94 57
4424,蛋黄派,42,56 81 3
4524,矿泉水,10,47 28 13
7227,键盘,43,64 39 1
828,椅子,47,4 64 52
1927,电脑,23,90 5 30
7324,蛋黄派,31,41 61 83
7425,帽子,35,15 28 90
2027,香蕉,70,65 77 68
7823,茶叶,36,96 69 80
3027,上衣,15,13 47 71
2126,矿泉水,13,12 29 35
1333,矿泉水,4,71 10 87
4627,帽子,22,15 89 56
7924,书,8,89 41 79
3126,椅子,94,93 82 64
8024,帽子,85,87 84 22
3226,键盘,71,11 40 25
5027,书,89,33 80 83
8126,苹果,1,23 1 10
5125,帽子,85,77 76 97
3330,键盘,63,10 52 94
7624,电脑,84,43 7 68
4821,帽子,89,9 99 57
4923,椅子,1,46 5 74
430,香蕉,33,41 34 6
2224,垃圾袋,84,12 15 78
7524,香蕉,50,26 48 22
8221,上衣,80,9 64 9
927,蛋黄派,48,95 26 34
7725,椅子,15,39 83 67
8520,书,83,71 74 70
3423,帽子,32,57 61 89
5328,电脑,11,40 77 100
8323,蛋黄派,14,70 18 51
4726,矿泉水,76,26 61 13
1431,蛋黄派,26,80 12 28
5225,香蕉,74,12 10 86
8426,苹果,12,86 18 94
233,蛋黄派,62,19 18 72
8624,矿泉水,60,16 3 22
3525,上衣,50,95 5 82
9022,键盘,21,78 86 57
5824,垃圾袋,6,70 100 16
1030,帽子,19,66 98 66
5922,薯片,79,19 7 36
9322,香蕉,97,92 85 36
3827,苹果,9,91 43 60
9223,茶叶,98,73 37 48
2334,薯片,4,18 82 92
9123,茶叶,44,57 73 82
8722,帽子,85,55 44 85
2424,电脑,78,18 62 58
5524,上衣,79,58 64 35
8822,椅子,84,12 22 94
529,键盘,52,24 26 49
8923,矿泉水,84,45 28 2
3624,帽子,71,80 75 95
730,矿泉水,94,58 69 55
9423,香蕉,55,80 52 63
5625,键盘,24,86 33 71
5724,茶叶,45,30 1 13
135,蛋黄派,85,12 78 29
5445,上衣,97,76 80 25
6026,香蕉,13,29 63 6
6128,椅子,13,8 58 87
1527,垃圾袋,90,56 2 29
2526,薯片,34,19 51 13
9622,矿泉水,48,39 1 5
1627,电脑,54,33 63 82
9525,矿泉水,34,76 26 45
9722,帽子,60,33 39 41
3926,薯片,60,30 18 14
3726,电脑,8,21 31 56
6226,帽子,64,79 90 32
4025,椅子,92,9 51 21
9822,椅子,67,28 58 45
2628,垃圾袋,18,32 6 60
6325,帽子,67,12 90 59
332,电脑,11,68 48 40
1131,垃圾袋,36,50 54 62
6426,椅子,12,22 66 50
9923,茶叶,36,29 34 70
1727,蛋黄派,60,14 8 59
2728,蛋黄派,74,56 71 17
10024,帽子,34,31 9 99
6525,茶叶,39,46 21 8
6724,苹果,14,50 37 85
4127,上衣,77,79 100 48
6626,上衣,94,2 75 37
1228,苹果,88,83 50 86
2826,蛋黄派,10,58 77 3
4229,上衣,2,30 25 95
1826,香蕉,43,24 69 93
6925,帽子,13,5 85 8
6825,书,1,76 85 55
4325,薯片,39,71 5 29
7026,香蕉,27,41 51 12
631,椅子,37,22 13 91
7125,椅子,43,26 12 18
2927,矿泉水,29,78 30 43
4425,键盘,50,100 74 90
4525,蛋黄派,13,77 6 37
7228,矿泉水,12,69 34 44
829,茶叶,85,100 26 68
1928,电脑,63,27 5 27
7325,蛋黄派,50,40 97 46
7426,上衣,21,99 31 23
7427,蛋黄派,30,18 30 18
7428,帽子,21,22 37 16
7429,垃圾袋,64,49 88 69
7824,茶叶,68,32 100 93
1334,键盘,59,64 69 31
4628,薯片,99,87 1 79
7925,帽子,23,91 26 26
3127,苹果,31,7 69 62
8025,香蕉,24,66 93 36
3227,茶叶,96,99 30 99
5028,矿泉水,70,86 73 52
8127,薯片,98,91 8 66
5126,椅子,10,63 74 56
3331,键盘,43,49 40 59
7625,电脑,49,5 5 59
4822,书,96,52 61 31
4924,键盘,75,14 22 92
431,上衣,2,60 79 87
2225,书,70,49 71 17
7525,电脑,82,70 60 32
8222,香蕉,23,6 12 54
928,矿泉水,76,5 17 10
7726,茶叶,33,63 89 59
8521,茶叶,39,32 84 41
3424,电脑,27,33 39 79
3425,帽子,50,19 5 80
3426,矿泉水,67,20 11 16
3427,椅子,29,70 3 69
3428,上衣,87,78 89 64
3429,上衣,44,76 90 96
3430,薯片,59,100 76 7
3431,香蕉,17,23 64 83
3432,茶叶,38,43 56 62
3433,薯片,36,84 37 52
3434,矿泉水,40,9 55 64
3435,电脑,44,21 84 64
3436,椅子,5,44 42 12
3437,矿泉水,59,32 33 2
3438,电脑,23,13 58 43
3439,上衣,64,51 33 12
3440,键盘,93,26 77 54
3441,帽子,40,49 3 37
3442,书,77,84 11 12
3443,矿泉水,57,32 48 40
3444,帽子,74,54 35 1
3445,香蕉,26,86 79 73
5329,香蕉,25,66 42 2
5525,帽子,38,100 73 76
8924,矿泉水,28,25 12 99
3625,薯片,13,6 9 47
731,电脑,95,61 45 7
9424,茶叶,55,47 37 25
5626,电脑,15,1 24 17
5725,电脑,50,28 3 47
136,蛋黄派,69,65 20 96
5446,苹果,67,96 14 19
6027,茶叶,71,36 21 30
6129,薯片,39,32 8 37
1528,键盘,88,95 28 22
2527,电脑,100,86 94 69
9623,矿泉水,2,41 21 61
1628,香蕉,74,79 70 38
9526,矿泉水,27,9 33 38
9723,键盘,89,99 47 41
3927,键盘,96,61 69 35
3727,苹果,66,57 66 43
6227,苹果,63,85 45 62
6228,香蕉,1,55 2 92
9823,垃圾袋,23,76 28 71
2629,帽子,96,63 42 92
6326,矿泉水,30,26 73 39
6327,薯片,72,78 5 23
1132,苹果,53,93 46 74
1133,上衣,89,84 16 34
1134,苹果,82,62 28 72
1135,键盘,71,45 48 14
1136,茶叶,43,60 76 44
1137,香蕉,82,72 44 35
1138,香蕉,21,91 70 46
1139,书,29,67 37 87
1140,上衣,77,70 5 3
1141,帽子,78,32 84 10
1142,电脑,30,75 37 91
333,苹果,40,1 62 70
334,垃圾袋,100,92 59 72
335,茶叶,37,13 60 78
336,上衣,4,57 7 68
337,茶叶,66,12 8 54
338,矿泉水,90,81 73 49
339,蛋黄派,6,77 83 42
4230,薯片,71,94 89 10
4231,苹果,29,41 23 62
2928,薯片,2,55 45 83
2929,垃圾袋,31,100 42 84
2930,茶叶,74,54 73 7
2931,苹果,6,49 16 24
2932,香蕉,95,45 54 50
2933,椅子,7,90 85 47
2934,帽子,44,45 31 75
2935,蛋黄派,76,60 70 68
2936,矿泉水,68,62 30 31
7126,电脑,95,66 32 84
4426,香蕉,38,18 56 94
7825,香蕉,80,27 26 64
1335,苹果,7,85 22 8
4629,椅子,75,2 20 76
7926,电脑,99,2 67 55
3128,椅子,5,44 54 9
8026,蛋黄派,96,76 88 46
3228,茶叶,85,92 49 31
5029,香蕉,24,36 88 2
8128,香蕉,66,15 60 32
5127,垃圾袋,53,40 7 44
3332,书,56,86 45 80
7626,上衣,91,53 90 51
4823,茶叶,36,90 50 85
4925,薯片,92,74 89 97
432,上衣,19,78 25 49
2226,书,91,21 58 69
7526,苹果,13,70 49 11
8223,苹果,7,38 15 27
929,薯片,12,48 68 64
7727,帽子,93,33 76 66
8522,书,72,82 3 20
5226,苹果,26,88 13 50
9023,电脑,27,19 22 31
5825,香蕉,85,45 58 44
1031,苹果,47,86 39 69
5923,帽子,75,93 33 66
9323,苹果,64,17 79 40
3828,垃圾袋,2,67 17 22
3446,上衣,18,94 28 53
9224,茶叶,45,75 80 11
9124,蛋黄派,1,71 46 64
8324,书,51,73 35 61
4727,椅子,58,21 51 88
1432,电脑,39,18 44 64
8427,薯片,81,46 56 54
234,苹果,74,76 39 19
8625,香蕉,87,79 37 31
3526,书,64,40 14 76
2335,帽子,48,72 58 94
8723,键盘,24,87 43 98
2425,椅子,88,63 66 83
8823,蛋黄派,33,28 81 11
530,电脑,46,58 44 34
5330,茶叶,92,43 61 8
5526,垃圾袋,59,23 65 7
8925,香蕉,4,12 23 39
3626,书,82,46 72 46
732,椅子,51,81 30 56
9425,薯片,41,2 60 20
5627,矿泉水,4,14 78 38
5726,矿泉水,76,50 71 35
137,椅子,54,75 47 18
5447,帽子,28,37 40 27
6028,上衣,8,99 73 95
6130,蛋黄派,78,68 90 61
1529,苹果,37,68 100 29
2528,薯片,25,94 72 93
9624,帽子,7,93 80 82
1629,书,75,74 13 59
9527,电脑,1,83 46 73
9724,茶叶,85,31 92 45
3928,上衣,18,44 92 71
3728,电脑,22,79 68 92
4026,键盘,29,50 91 46
6229,矿泉水,69,87 91 43
9824,薯片,100,10 65 31
2630,蛋黄派,10,75 91 17
6328,香蕉,24,1 54 52
6427,书,24,53 27 71
1728,椅子,99,83 69 61
2729,蛋黄派,16,56 60 47
6526,矿泉水,6,94 93 56
1143,帽子,32,43 47 2
9924,茶叶,47,5 56 38
10025,椅子,8,51 74 1
4128,苹果,33,99 30 6
1229,苹果,52,99 85 24
6725,帽子,49,46 74 70
6627,上衣,39,93 40 3
2827,帽子,36,24 73 7
6926,帽子,95,75 69 94
6826,薯片,37,20 65 96
4326,茶叶,90,19 87 72
632,垃圾袋,28,62 21 46
1827,帽子,66,83 91 92
7027,茶叶,28,83 91 32
340,矿泉水,22,43 37 14
4232,电脑,58,45 14 19
7229,香蕉,79,87 15 38
1929,书,92,72 75 55
7326,香蕉,38,93 15 22
2028,帽子,90,42 86 50
3028,书,69,83 54 18
2127,茶叶,65,26 79 12
2937,书,71,51 34 67
4526,帽子,41,3 79 13
830,茶叶,37,6 86 38
7430,矿泉水,51,78 63 27
7127,垃圾袋,74,13 60 78
4427,垃圾袋,15,73 23 38
7826,蛋黄派,55,71 44 98
1336,苹果,4,77 23 63
4630,蛋黄派,27,50 95 73
7927,键盘,32,85 28 59
3129,茶叶,93,34 82 44
8027,上衣,22,100 40 93
3229,香蕉,17,66 78 49
5030,蛋黄派,35,80 11 20
8129,苹果,64,70 23 46
5128,蛋黄派,19,5 26 50
3333,香蕉,61,28 11 46
7627,苹果,25,86 52 37
4824,薯片,96,44 12 48
4926,椅子,49,86 82 37
433,苹果,56,28 21 24
2227,薯片,26,95 39 96
7527,帽子,29,37 86 90
8224,香蕉,46,99 57 99
930,蛋黄派,96,67 45 23
7728,蛋黄派,77,6 5 73
8523,电脑,3,44 8 59
5227,书,91,93 25 7
9024,电脑,28,12 74 3
5826,苹果,4,57 13 13
1032,电脑,52,58 20 29
5924,薯片,76,40 15 44
9324,上衣,24,83 62 63
3829,香蕉,69,61 25 10
3447,键盘,56,87 20 20
9225,键盘,28,62 18 70
9125,茶叶,75,89 36 60
8325,椅子,10,74 94 38
4728,垃圾袋,41,59 85 73
1433,帽子,62,61 100 21
8428,薯片,75,8 61 33
235,上衣,74,9 69 38
8626,薯片,33,18 47 5
3527,书,98,33 28 72
2336,薯片,87,83 6 25
8724,苹果,17,99 88 40
2426,上衣,94,27 39 67
8824,上衣,7,50 16 8
531,帽子,6,58 60 94
5331,薯片,25,37 2 98
5527,电脑,43,34 18 57
8926,茶叶,41,72 42 30
3627,上衣,22,6 29 84
733,薯片,12,91 85 91
9426,苹果,10,89 72 93
5628,薯片,27,17 87 32
5727,垃圾袋,39,25 100 83
138,书,90,93 26 59
5448,垃圾袋,82,1 93 14
6029,帽子,26,63 79 40
6131,茶叶,51,33 80 21
1530,薯片,70,68 57 42
2529,苹果,7,7 51 79
9625,蛋黄派,96,28 91 35
1630,矿泉水,74,13 99 1
9528,香蕉,7,76 33 27
9725,香蕉,16,32 28 38
3929,茶叶,48,64 100 6
3729,蛋黄派,73,86 67 98
4027,矿泉水,73,3 64 52
6230,矿泉水,95,35 25 98
9825,上衣,47,4 4 93
2631,垃圾袋,16,6 100 51
6329,上衣,2,76 36 66
6428,矿泉水,43,33 48 40
1729,键盘,66,58 85 39
2730,垃圾袋,9,97 33 17
6527,键盘,54,37 55 75
1144,薯片,12,27 12 16
9925,垃圾袋,38,4 17 80
10026,蛋黄派,8,71 38 64
4129,蛋黄派,35,37 87 22
1230,茶叶,66,62 63 8
6726,矿泉水,48,48 78 39
6628,键盘,55,9 5 59
2828,上衣,2,21 11 100
6927,帽子,76,13 79 42
6827,电脑,23,10 2 31
4327,键盘,79,80 100 92
633,书,35,20 4 46
1828,香蕉,69,7 15 4
7028,书,24,89 30 55
341,垃圾袋,69,91 24 62
4233,键盘,29,2 27 98
7230,键盘,5,50 3 34
1930,垃圾袋,66,14 93 29
7327,茶叶,57,72 64 34
2029,苹果,39,21 50 50
3029,键盘,8,48 3 89
2128,键盘,65,71 55 47
2938,书,78,62 36 18
4527,茶叶,34,48 76 43
831,矿泉水,6,65 99 22
7431,帽子,43,29 9 43
7128,矿泉水,63,11 70 23
4428,电脑,21,39 79 43
7827,上衣,30,2 61 42
1337,键盘,92,26 42 54
4631,书,57,26 51 90
7928,上衣,52,27 57 96
3130,香蕉,38,85 39 74
8028,书,91,49 58 89
3230,矿泉水,63,54 94 73
5031,电脑,2,39 84 42
8130,书,98,13 95 91
5129,键盘,38,56 70 73
3334,矿泉水,77,94 83 38
7628,薯片,37,67 73 54
4825,苹果,33,6 79 68
4927,键盘,56,92 88 15
434,苹果,47,47 27 66
2228,帽子,20,4 55 21
7528,蛋黄派,10,84 77 44
8225,帽子,17,23 88 43
931,茶叶,40,66 83 91
7729,蛋黄派,92,85 74 69
8524,蛋黄派,96,69 16 5
5228,矿泉水,85,62 37 98
9025,键盘,77,66 1 78
5827,垃圾袋,92,63 96 48
1033,电脑,22,26 69 53
5925,蛋黄派,12,45 45 40
9325,垃圾袋,43,10 66 30
3830,薯片,46,12 34 94
3448,苹果,1,17 76 60
9226,苹果,33,29 31 53
9126,垃圾袋,85,42 18 35
8326,键盘,9,39 25 81
4729,苹果,26,58 22 86
1434,蛋黄派,83,89 77 7
8429,键盘,48,79 90 84
236,茶叶,65,42 74 41
8627,薯片,45,42 10 7
3528,键盘,76,58 76 70
2337,电脑,49,18 75 53
8725,香蕉,48,79 62 76
2427,书,23,21 25 100
8825,键盘,98,75 4 45
532,苹果,80,35 53 27
5332,香蕉,31,99 91 8
5528,矿泉水,98,83 23 83
8927,苹果,82,63 91 11
3628,蛋黄派,38,77 46 99
734,电脑,75,38 41 47
9427,书,76,20 80 11
5629,香蕉,41,26 74 88
5728,茶叶,35,84 27 60
139,椅子,20,96 84 6
5449,矿泉水,27,75 69 93
6030,键盘,60,1 90 25
6132,垃圾袋,69,86 63 4
1531,键盘,66,69 49 69
2530,垃圾袋,82,97 33 27
9626,上衣,59,32 90 41
1631,薯片,19,73 35 4
9529,椅子,29,75 32 64
9726,帽子,13,71 16 1
3930,电脑,1,88 98 19
3730,矿泉水,18,38 76 86
4028,书,55,30 1 11
6231,椅子,48,55 69 81
9826,香蕉,69,53 27 6
2632,蛋黄派,47,52 99 21
6330,椅子,4,99 57 68
6429,上衣,73,13 48 30
1730,垃圾袋,100,67 29 88
2731,矿泉水,71,61 33 57
6528,书,88,66 95 35
1145,蛋黄派,48,7 53 13
9926,矿泉水,61,5 61 84
10027,苹果,86,73 46 35
4130,矿泉水,22,39 25 15
1231,书,58,89 23 5
6727,电脑,20,40 16 82
6629,电脑,61,36 23 34
2829,椅子,68,22 33 53
6928,矿泉水,12,93 44 57
6828,帽子,14,5 20 80
4328,蛋黄派,31,48 38 6
634,帽子,46,91 93 38
1829,键盘,53,55 97 98
7029,帽子,4,57 9 34
342,垃圾袋,35,98 38 10
4234,垃圾袋,84,2 29 31
7231,茶叶,67,71 51 1
1931,键盘,60,2 93 4
7328,薯片,68,37 81 59
2030,帽子,10,61 45 35
3030,垃圾袋,74,18 92 6
2129,薯片,92,6 65 36
2939,茶叶,19,94 6 22
2940,苹果,85,44 24 38
2941,香蕉,8,44 53 66
2942,茶叶,100,23 68 93
7129,垃圾袋,40,70 63 29
7130,蛋黄派,46,97 25 45
7828,矿泉水,13,88 84 76
1338,电脑,77,20 20 25
1339,垃圾袋,67,80 54 26
7929,薯片,85,72 27 48
4632,茶叶,94,82 35 42
8029,苹果,73,86 51 53
3231,茶叶,17,9 57 92
5032,香蕉,100,99 73 50
8131,香蕉,27,55 41 93
8132,苹果,25,47 86 95
5130,薯片,20,77 79 92
5131,矿泉水,80,70 13 92
5132,矿泉水,9,37 46 7
5133,键盘,94,49 97 90
5134,键盘,23,91 99 88
5135,电脑,53,15 14 6
7629,键盘,36,73 39 87
7630,薯片,77,88 2 44
7631,苹果,49,10 81 97
7632,茶叶,60,68 29 36
8226,书,6,18 97 86
5229,苹果,5,75 50 3
9026,书,89,6 25 81
5828,茶叶,33,44 19 10
1034,香蕉,93,53 45 61
5926,书,83,42 68 37
9326,帽子,57,51 6 24
3831,薯片,77,99 85 4
3449,矿泉水,8,76 13 21
9227,蛋黄派,13,49 44 7
9228,帽子,36,2 64 43
9229,电脑,62,24 68 63
8327,薯片,81,15 84 10
1435,键盘,2,77 85 49
8430,书,6,21 81 14
237,电脑,71,54 11 28
8628,茶叶,57,24 36 92
3529,薯片,54,16 7 91
2338,矿泉水,68,34 13 83
8726,帽子,75,100 29 92
2428,薯片,41,41 71 39
8826,薯片,67,68 83 47
533,蛋黄派,50,14 46 71
5333,帽子,72,95 90 36
5529,帽子,85,45 30 76
8928,电脑,59,68 55 73
3629,香蕉,3,8 98 70
735,苹果,50,63 39 65
9428,蛋黄派,38,92 24 60
5630,电脑,47,98 4 4
5729,椅子,98,60 6 91
140,电脑,78,8 66 49
5450,椅子,86,56 51 35
6031,椅子,37,59 31 90
6133,苹果,91,51 18 24
1532,香蕉,97,53 89 83
2531,薯片,18,13 98 40
9627,蛋黄派,97,9 96 65
1632,茶叶,14,73 48 43
9530,茶叶,40,65 42 27
9727,帽子,50,6 27 69
3931,苹果,29,62 6 94
3731,茶叶,40,73 7 45
4029,书,75,83 48 90
6232,帽子,28,7 56 22
9827,椅子,91,71 68 38
2633,茶叶,44,27 49 24
6331,帽子,54,30 34 4
6430,帽子,32,94 12 71
1731,帽子,86,14 85 19
2732,上衣,66,66 75 14
6529,椅子,77,92 66 14
1146,香蕉,49,34 72 83
